,PC1,PC2,PC3,Group
Raffbudspec.15,18.44095471080875,-13.768979251524884,-1.9309525879488918,Raffbudspec
infectedILO,0.2773623725314186,-2.653796264189534,-6.148938009144065,infectedILO
infectedILO.1,0.2726152380971706,-1.6631931211191135,-5.266479067513932,infectedILO
infectedILO.2,-6.866381875749513,-0.4897719432774466,-6.34662613030439,infectedILO
infectedILO.3,-7.483147364461123,-0.4365583428985643,-6.400808418259167,infectedILO
infectedILO.4,-6.186003656679268,1.0161445685116086,-4.367032946486991,infectedILO
infectedILO.5,-6.616959075625547,1.1471730880321989,-4.558365787563258,infectedILO
infectedILO.6,-0.46361876504132066,-0.12008776816105825,-3.770372336461944,infectedILO
infectedILO.7,-0.489286513601835,-0.08196342298885476,-3.7085061307928413,infectedILO
infectedILO.8,-1.6533985776834232,0.6908430321760084,-4.27351827900413,infectedILO
infectedILO.9,-1.2080447535580323,0.7216380844364044,-4.196032342643596,infectedILO
infectedILO.10,-11.63295124334598,2.284540517772579,-5.994129594964456,infectedILO
infectedILO.11,-11.770524163991807,2.241084755388491,-5.994911634557355,infectedILO
infectedILO.12,-2.354338729254041,1.0951529471200367,-4.279314201584508,infectedILO
infectedILO.13,-1.9163725509795164,1.0190700829343713,-4.409083861113567,infectedILO
infectedILO.14,-9.394107770433685,1.9062850600428216,-5.188735664978852,infectedILO
infectedILO.15,-9.441372747303385,1.7880941454281736,-4.980045099512744,infectedILO
infectedILO.16,-0.8509989918054491,0.746112497498268,-3.6956285664447743,infectedILO
infectedILO.17,-1.11650569259415,1.3265729935763702,-3.393994600002739,infectedILO
UNinfectedILO,-8.439828677542407,-0.19813784076673163,-4.777413050308178,UNinfectedILO
UNinfectedILO.1,-8.175253346984743,-0.10137573236603295,-4.776123254466775,UNinfectedILO
UNinfectedILO.2,-7.31286680952779,0.32513898896631876,-3.1727479682690425,UNinfectedILO
UNinfectedILO.3,-7.5528732703924675,0.382341527165883,-2.8755568191526217,UNinfectedILO
UNinfectedILO.4,-10.443289134443972,0.5433193598247792,-5.8553103141541545,UNinfectedILO
UNinfectedILO.5,-10.319228620889662,0.2871705411188396,-6.076958410904681,UNinfectedILO
UNinfectedILO.6,-20.608949399764494,2.694508177437112,-7.516259995434257,UNinfectedILO
UNinfectedILO.7,-20.88568637291247,2.2459910064857316,-7.853501878511644,UNinfectedILO
UNinfectedILO.8,-0.3792165226319135,-0.3567713102290097,-4.115194092461005,UNinfectedILO
UNinfectedILO.9,-0.730766603152931,0.06211163509393101,-4.188861319947434,UNinfectedILO
UNinfectedILO.10,-2.506834707676401,0.9626956525912,-4.519275870187198,UNinfectedILO
UNinfectedILO.11,-2.952675516437636,1.0788371265621777,-4.461125033249145,UNinfectedILO
UNinfectedILO.12,-15.229520609165625,2.71317403704856,-5.509322360472086,UNinfectedILO
UNinfectedILO.13,-14.805774313097483,2.18846186587246,-5.8193637463013275,UNinfectedILO
UNinfectedILO.14,-2.914784405031953,2.7644567455147353,-3.6200056543085783,UNinfectedILO
UNinfectedILO.15,-3.0330108831987204,2.7997175795072713,-3.637872698936292,UNinfectedILO
UNinfectedILO.16,-11.553739460338992,3.216736278353614,-6.204798038972687,UNinfectedILO
UNinfectedILO.17,-12.016383528808861,3.3573448206960186,-6.5351638485984065,UNinfectedILO
UNinfectedILO.18,-13.422371899313168,3.3156493303636942,-6.699768297812928,UNinfectedILO
UNinfectedILO.19,-13.382467803235073,3.1813424129666026,-6.359350924307851,UNinfectedILO
uninfecraffspec-stemleaf,0.17162987447084788,2.5882080188806906,-1.4132236051406601,uninfecraffspec-stemleaf
uninfecraffspec-stemleaf.1,0.09277129883487167,2.5783230113767552,-1.188068369523922,uninfecraffspec-stemleaf
uninfecraffspec-stemleaf.2,-0.6316672798277824,2.980148951881844,0.5215056103580813,uninfecraffspec-stemleaf
