Feature_Label,RT,m/z,CAM_log2FC_recomputed,CAM_p_recomputed,ILO_log2FC_recomputed,ILO_p_recomputed,CAM_FDR_BH,ILO_FDR_BH
34.22 min | 10-Hydroxymyristic acid methyl ester,34.22,257.21158,0.6327382252905699,0.15914102865617,,0.0058708955558603,0.3478196339189162,0.07835485322685053
34.22 min | Glycyrrhetinic acid,34.22,469.33242,5.525828213532001,0.0469115667871564,-3.227291220749287,0.7440471277383048,0.17188778068845087,0.8233406117040056
34.24 min | Polyglycerol esters of fatty acids,34.24,431.33647,-8.663405618261464,0.4046467199771669,1.6644649767299764,0.2704073823608623,0.5296844742070781,0.42195773450887103
34.3 min | Sativic acid,34.3,347.24231,-0.7892122251105312,0.0144426802198984,0.2054503268558952,0.3174890193128903,0.07526543918369694,0.4657142260802079
34.43 min | 2-amino-3-[hydroxy-[2-hydroxy-3-[octadec-9-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid,34.43,522.28218,0.8091153799220415,0.3910022189557705,,0.0050920541332349,0.5172165367604589,0.07201894342915194
34.49 min | Humulinic acid A,34.49,265.14617,7.015855379384814,0.4275638918339658,0.110749288139798,0.9487881244613898,0.5492704508118202,0.9668504261582089
34.62 min | 16-Hydroxyhexadecanoic acid,34.62,271.22656,,0.4028526613881732,1.9509650041532784,0.0156800337768802,0.5278363618378247,0.11940840313697407
34.65 min | 3-hydroxypristanic acid,34.65,313.27444,-0.5576895705710525,0.8589467813309126,-0.4322859802010207,0.7381318326884716,0.8945742873438841,0.8187631011588589
"34.76 min | 9-hydroxy-10,12-octadecadienoic acid",34.76,295.22725,2.528176474629579,0.466957786869367,1.2809563138310562,0.3433162818339892,0.5809627960960323,0.484289872535995
34.78 min | Tetracosahexaenoic acid,34.78,391.24201,0.9915237994661004,0.0385975566349326,0.347591909275823,0.1789019728108813,0.1501499315854702,0.32729237303331926
34.83 min | alpha-Linolenic acid,34.83,277.2158,1.8379576612232225,0.0931185251695694,0.1165067444574678,0.7349377365186975,0.2458827595777731,0.8173559384314075
34.88 min | Humulinic acid A,34.88,265.14559,2.597295594204461,0.3910022189557705,,0.0228501362854257,0.5172165367604589,0.13563218447476003
35.0 min | 3-Oxohexadecanoic acid,35.0,269.21192,0.5107238704292377,0.3910022189557705,-0.816909228770853,0.1789324704128574,0.5172165367604589,0.32729237303331926
35.03 min | Oleanolic acid,35.03,455.35192,0.2840950597800034,0.4137453852383626,5.3180329584215205,0.0113513330840146,0.537013512231371,0.10865067701101394
"35.07 min | cis-9,10-Epoxystearic acid",35.07,297.24313,0.1382106529372334,0.4587785973105448,,0.1195429640446032,0.5744309864173649,0.26329957471387083
35.14 min | maslinic acid (3-O-trans-p-Coumaroyl-),35.14,617.3858,,0.000350120473602,10.49859992877026,0.3478086266328036,0.007155518319101691,0.48714372553742574
35.44 min | 2-Hydroxyhexadecanoic acid,35.44,271.22623,1.753502156440507,0.0020539054059384,-1.2523686786719284,0.0202737447919621,0.020161424547087012,0.13144620449624253
35.58 min | Protobassic acid,35.58,539.31723,,0.0019407672982395,0.2582771241521978,0.7538795934423519,0.019563501013640506,0.8315556857379297
35.59 min | Myristic acid,35.59,227.20145,1.0827599608000875,0.0253231223807915,-1.780421759262247,0.0348907628393515,0.1103193438734166,0.15390265954217572
35.64 min | Lucidenic acid K,35.64,471.24021,0.4496748934158024,0.2693949214675993,,0.222942841064271,0.4392377645180102,0.3704982713715503
35.74 min | Oleanolic acid,35.74,455.35302,-0.3918622016509046,0.4492519004961344,3.0275091281501747,0.0206711871047411,0.5691897931973959,0.13252901796375463
35.79 min | Arachidonic acid,35.79,303.23199,9.486835021563053,0.1920763370447373,-0.6609493593321624,0.3216717721401557,0.35844457727148515,0.4695863819509038
35.8 min | 3-Oxooctadecanoic acid,35.8,297.24161,0.2675211104871912,0.3291397926469036,-0.9900118037070724,0.0148149610846863,0.5124487639744914,0.11773215933663135
35.82 min | maslinic acid (3-O-trans-p-Coumaroyl-),35.82,617.38563,10.263562639820616,0.0160822696094302,,0.0741527650500615,0.0813538986469711,0.20764352663259888
35.85 min | Thelephoric acid,35.85,386.98938,,0.4126468507704952,-1.1678773874257753,0.6394885424066689,0.5364537144686268,0.7503259788136021
36.18 min | Linoleic acid,36.18,279.23318,0.5807747037577228,0.793306460909727,-2.238319834052214,0.4013234826597461,0.8459893610164734,0.5380851743234072
36.37 min | Linoleic acid,36.37,279.23128,0.8836911142334672,0.0350100675457122,-0.0590384173654768,0.8773865172474837,0.13996341625323974,0.9263538075831613
36.39 min | Orotidylic acid,36.39,367.01666,,0.0706382382759202,-0.4412675706403539,0.4179337899760859,0.21440135267995997,0.5539026525498797
36.41 min | Fasciculic acid A,36.41,619.4192,,0.3910022189557705,1.265388922335387,0.3836318694658754,0.5172165367604589,0.5194074624827195
36.43 min | Palmitic acid,36.43,255.23337,,0.0300645351388781,,0.0047288271902847,0.12581552432360807,0.07189779237317175
36.56 min | N-Undecylbenzenesulfonic acid,36.56,311.16952,2.640259248331093,0.1873265443453875,,0.344319499190984,0.35844457727148515,0.48511582326673836
36.59 min | Cerebronic acid,36.59,383.35398,4.45571976313757,0.3815949284775456,-0.8394408419537192,0.231978573905445,0.5172165367604589,0.3791115659435757
36.97 min | Palmitic acid,36.97,255.23169,-0.5798646330814774,0.3949464114521603,0.6686544406179126,0.0517469592876798,0.5194485659194604,0.17345279314632475
36.98 min | Pentadecanoic acid,36.98,241.21651,-0.733723152862814,0.0593736870858941,-0.1080930187282413,0.7417862051359326,0.20295807392480136,0.8221562995928755
37.02 min | beta-Elemonic acid,37.02,453.33585,-1.394582121916828,0.3518413034028195,1.844923434533227,0.0443646647702386,0.5172165367604589,0.1633802721271987
