,PC1,PC2,PC3,Group
Ampelopsis,0.9546212058241802,1.9062703409460997,5.556971691125474,Ampelopsis
Ampelopsis.1,1.0376499616553123,2.1079691976470096,5.174360540612998,Ampelopsis
Ampelopsis.2,3.027555457405169,-10.937159821242316,8.568555022787583,Ampelopsis
Ampelopsis.3,3.035365791898266,-11.022911987943969,9.099555762583272,Ampelopsis
Ampelopsis.4,44.60305148530345,27.744424310849244,-5.41125406497807,Ampelopsis
Ampelopsis.5,46.92277154227961,29.303347088732185,-5.018588761569428,Ampelopsis
Ampelopsis.6,46.83383938358766,-16.481514061356098,2.5104344985478986,Ampelopsis
Ampelopsis.7,44.90851171739277,-15.352992657489878,2.4730124611504705,Ampelopsis
Ampelopsis.8,8.30043086367472,11.66554684874051,7.209566200842294,Ampelopsis
Ampelopsis.9,8.867335121931095,12.050834511964505,7.001318124449312,Ampelopsis
Ampelopsis.10,9.5368476255317,-19.60205059096189,15.869010910568766,Ampelopsis
Ampelopsis.11,10.534141053151066,-20.358471554578475,16.2151019818516,Ampelopsis
Ampelopsis.12,39.49326602560058,20.463013027149753,-4.6822131028456,Ampelopsis
Ampelopsis.13,36.445490271799706,19.98318841556821,-5.136597801793658,Ampelopsis
Ampelopsis.14,15.08082998421082,-14.562718097023119,6.877050465467329,Ampelopsis
Ampelopsis.15,15.482809628032863,-15.685125790784742,6.134031115021522,Ampelopsis
